what,kind,bundleId,bundleVersion,description,time
java.vm.specification.version,sysinfo,,,"1.0",1406278338062
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1406278338062
java.vm.version,sysinfo,,,"20.7-b02",1406278338062
started,bundle,org.eclipse.jdt.apt.pluggable.core,1.0.400.v20110305-1450,"org.eclipse.jdt.apt.pluggable.core",1406278338062
started,bundle,org.eclipse.core.variables,3.2.500.v20110928-1503,"org.eclipse.core.variables",1406278338312
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1406278340953
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1406278361765
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1406278362062
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278364500
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1406278410296
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1406278429578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278441812
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278442984
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1406278443265
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1406278443281
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278443359
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1406278443390
started,bundle,org.eclipse.wst.server.core,1.1.304.v20120208_1420,"org.eclipse.wst.server.core",1406278443562
started,bundle,org.eclipse.wst.server.ui,1.3.0.v20120210_1439,"org.eclipse.wst.server.ui",1406278443578
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1406278443796
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278451046
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278503812
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1406278503890
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278504781
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278523515
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1406278523531
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278602890
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278691281
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278692906
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278746312
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1406278748390
error,log,,,"Invalid preference page path: Color Helper",1406278748953
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.300.v201108240515,"org.eclipse.wst.ws.service.policy.ui",1406278748953
started,bundle,org.eclipse.wst.ws.service.policy,1.0.303.v201009221810,"org.eclipse.wst.ws.service.policy",1406278748968
started,bundle,org.eclipse.wst.command.env,1.0.409.v201004211805,"org.eclipse.wst.command.env",1406278748984
started,bundle,org.eclipse.wst.ws,1.1.203.v201004211805,"org.eclipse.wst.ws",1406278748984
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1406278749078
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278758015
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1406278768000
