what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1378347283271
java.specification.version,sysinfo,,,"1.6",1378347283271
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1378347283271
java.version,sysinfo,,,"1.6.0_32",1378347283271
java.vm.info,sysinfo,,,"mixed mode, sharing",1378347283271
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1378347283271
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1378347283271
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1378347283271
java.vm.specification.version,sysinfo,,,"1.0",1378347283271
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1378347283271
java.vm.version,sysinfo,,,"20.7-b02",1378347283271
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.2.0.v20110815-1419,"org.eclipse.equinox.p2.metadata.repository",1378347283321
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.100.v20110815-1419,"org.eclipse.equinox.p2.ui.sdk.scheduler",1378347283662
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1378347283712
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1378347284012
started,bundle,org.eclipse.jst.ws.jaxws.utils,1.0.100.v201201031437,"org.eclipse.jst.ws.jaxws.utils",1378347284132
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1378347284453
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1378347284623
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1378347284633
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1378347286426
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1378347286426
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1378347286786
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1378347287237
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1378347288308
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1378347290341
error,log,,,"Could not instantiate provider org.eclipse.team.svn.core.svnnature for project adempiereLibero.",1378347291403
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1378347294497
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1378347294547
